J034319.03+222657.3  55.8292905  22.4492383   22.5  -45.6 2.4 2.6 13.165 0.369 11.754 0.181 11.210  0.100 11.993  0.010 10.867  0.043  9.639 0.020  9.160 0.019  9.026 0.020 AAA  8.965 0.023  8.989 0.020  9.006 0.034    ---   --- 0.8382   4750  125  5.514e-01  1.0e-01
J034324.53+231333.3  55.8522284  23.2259251   17.8  -41.0 1.5 1.5 11.513 0.077 10.738 0.064 10.343  0.004 10.887  0.044 10.070  0.029  9.101 0.019  8.722 0.017  8.655 0.018 AAA  8.530 0.024  8.553 0.021  8.484 0.023  8.499 0.343 0.9510   5250  125  1.102e+00  1.9e-01
J034327.13+252315.3  55.8630560  25.3875913   21.0  -47.3 1.7 1.8 12.141 0.160 11.309 0.107 11.082  0.018 11.863  0.006 10.885  0.039  9.752 0.022  9.311 0.028  9.218 0.023 AAA  9.145 0.023  9.189 0.020  9.020 0.032    ---   --- 0.9955   5000  125  5.795e-01  1.1e-01
J034331.13+220930.1  55.8797042  22.1583647   20.4  -46.6 1.3 1.4 11.302 0.074 10.543 0.054 10.215  0.028    ---    ---    ---    ---  9.086 0.020  8.819 0.021  8.777 0.021 AAA  8.687 0.025  8.714 0.022  8.733 0.027  8.390 0.308 0.9856   5500  125  1.113e+00  1.9e-01
J034331.95+234026.6  55.8831450  23.6740460   20.7  -46.7 1.5 1.5 11.542 0.084 10.875 0.077 10.596  0.026 11.115  0.046 10.411  0.021  9.527 0.019  9.192 0.015  9.103 0.020 AAA  9.050 0.023  9.095 0.020  8.940 0.030    ---   --- 0.9972   5500  125  8.163e-01  1.4e-01
J034334.39+234542.8  55.8933050  23.7618968   20.2  -45.1 2.4 2.5 12.559 0.249 11.928 0.199 11.156  0.100 11.860  0.051 10.934  0.043  9.865 0.018  9.476 0.019  9.370 0.020 AAA  9.273 0.024  9.312 0.022  9.288 0.044    ---   --- 0.9938   5000  125  4.870e-01  9.3e-02
J034337.73+233209.5  55.9072001  23.5359683   19.4  -47.8 2.0 2.1 11.540 0.082 10.746 0.067 10.562  0.029 11.073  0.061 10.374  0.026  9.529 0.019  9.191 0.017  9.124 0.020 AAA  9.033 0.023  9.085 0.019  8.982 0.032  8.588 0.361 0.9946   5500  125  8.364e-01  1.5e-01
J034341.53+233856.9  55.9230582  23.6491501   19.9  -44.1 1.0 1.0  8.328 0.017  7.961 0.012  8.815  0.024  9.579  0.044  8.062  0.049  7.198 0.026  7.070 0.020  7.028 0.023 AAA  6.976 0.036  6.996 0.020  6.753 0.015  5.306 0.038 0.9910   6750  125  9.508e+00  1.6e+00
J034342.88+233541.2  55.9286530  23.5947873   21.4  -45.6 1.1 1.0 10.137 0.029  9.609 0.026  9.401  0.025  9.992  0.153  9.313  0.034  8.535 0.021  8.316 0.017  8.233 0.026 AAA  8.200 0.022  8.229 0.021  8.098 0.023  7.871 0.187 0.9945   6000  125  2.274e+00  4.0e-01
J034343.20+250450.6  55.9299816  25.0807133   20.5  -51.1 1.3 1.2  7.703 0.016  7.537 0.012    ---    ---    ---    ---    ---    ---  7.207 0.021  7.241 0.059  7.168 0.026 AAA  7.138 0.030  7.150 0.020  7.183 0.018  6.934 0.091 0.9918   8250  125  1.250e+01  2.1e+00
